Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Kesakitan,Stunting (%),IKP,IKP Ranking,
bener meriah - timang gajah,4,0.03,19.16,44.48,0.00,27.40,9.73,40.11,11.59,20.19,66.36,198,
bener meriah - bener kelipah,2,5.00,19.16,15.89,0.00,9.46,10.26,36.64,16.58,19.76,42.85,257,
bener meriah - mesidah,4,0.07,19.16,10.27,0.00,29.47,9.04,100.00,9.64,27.87,67.08,194,
bener meriah - gajah putih,3,0.05,19.16,11.73,0.00,83.38,10.39,72.57,19.36,11.81,58.19,244,
pidie jaya - meureudu,4,0.00,19.55,14.90,0.00,36.58,9.79,60.00,17.89,19.86,65.16,207,
pidie jaya - ulim,5,0.00,19.55,7.31,0.00,29.46,10.02,28.21,15.10,7.17,71.83,145,
pidie jaya - jangka buaya,4,0.00,19.55,14.03,0.00,51.73,10.80,8.35,13.30,31.17,67.21,193,
pidie jaya - bandar dua,4,0.00,19.55,8.26,0.00,42.50,9.27,60.74,10.45,7.23,68.70,177,
pidie jaya - meurah dua,3,0.00,19.55,17.73,0.00,76.44,11.53,100.00,20.35,33.53,55.22,251,
pidie jaya - bandar baru,4,0.00,19.55,14.25,0.53,40.42,9.04,43.74,16.67,35.37,62.45,221,
pidie jaya - panteraja,5,0.00,19.55,10.65,0.00,14.49,9.10,10.95,10.44,10.70,75.36,108,
pidie jaya - trienggadeng,5,0.00,19.55,10.30,0.00,20.60,9.57,38.72,15.27,12.10,71.32,153,
kota banda aceh - baiturrahman,6,0.00,7.61,3.73,0.00,2.36,13.29,10.81,9.21,15.12,90.60,5,
kota banda aceh - kuta alam,6,0.00,7.61,5.05,0.00,2.09,13.37,12.11,7.48,16.62,92.91,4,
kota banda aceh - meuraxa,6,0.00,7.61,8.68,0.00,2.03,13.07,15.13,10.09,18.34,88.51,8,
kota banda aceh - syiah kuala,6,0.00,7.61,0.84,0.00,1.93,13.49,15.65,7.31,19.72,94.00,3,
kota banda aceh - lueng bata,6,0.00,7.61,4.23,0.00,1.92,13.35,11.36,6.38,7.37,96.48,1,
kota banda aceh - kuta raja,6,0.00,7.61,3.76,0.00,2.30,13.64,11.84,12.14,10.89,88.87,7,
kota banda aceh - banda raya,6,0.00,7.61,6.14,0.00,2.41,13.66,9.21,6.01,14.81,94.05,2,
